Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"G Yang, Z Chen","Pedestrian tracking algorithm for dense crowd based on deep learning",2019,"… 6th International Conference on Systems and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9010144/","https://scholar.google.com/scholar?cites=936535221082283717&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-04-16 15:55:40","","","","",,,,,11,2.20,6,2,5,"… Dense C rowd Visual Tracking algorithm based on Deep Learning (DTDL) is introduced. The main research contents of this paper are as follow s: (l)Dense crowd Based on Single Shot …","https://ieeexplore.ieee.org/iel7/8974456/9010069/09010144.pdf","https://scholar.google.com/scholar?q=related:xV5AVNI9_wwJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
16,"X Li, Y Liang, M Zhao, C Wang, H Bai, Y Jiang","Simulation of evacuating crowd based on deep learning and social force model",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8880672/","https://scholar.google.com/scholar?cites=3458427546931243460&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-04-16 15:55:40","","","","",,,,,16,3.20,3,6,5,"… issues in crowd evacuation: pedestrian tracking and individual differences. To solve the … model combining deep learning and social force model simulation. For sparse and dense crowd, …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08880672.pdf","https://scholar.google.com/scholar?q=related:xClDyIfN_i8J:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
18,"R Chandra, U Bhattacharya, A Bera, ...","Densepeds: Pedestrian tracking in dense crowds using front-rvo and sparse features",2019,"2019 IEEE/RSJ …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8968470/","https://scholar.google.com/scholar?cites=13216376391078996362&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-04-16 15:55:40","","","","",,,,,18,3.60,5,4,5,"… % on our new dense crowd dataset and improves tracking accuracy by 2.6% … to deep learning, which has led to substantial research in the intersection of deep learning and the tracking-…","https://ieeexplore.ieee.org/iel7/8957008/8967518/08968470.pdf","https://scholar.google.com/scholar?q=related:imkf6E0AarcJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
4,"NK Tagore, SK Singh","Crowd counting in a highly congested scene using deep augmentation based convolutional network",2019,"International Conference on Advances in …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3392307","https://scholar.google.com/scholar?cites=14613907932074228307&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-04-16 15:55:40","","","","",,,,,4,0.80,2,2,5,"… Most of the crowd datasets have very less amount of training samples and deep learning-… Multi-source multi-scale counting in extremely dense crowd images. In Proceedings of the …","","https://scholar.google.com/scholar?q=related:UzqMH9YHz8oJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
1,"M Saqib","Automatic analysis of crowd dynamics using computer vision and machine learning approaches",2019,"","opus.lib.uts.edu.au","https://opus.lib.uts.edu.au/handle/10453/135995","https://scholar.google.com/scholar?cites=8489038035129662290&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-04-16 15:55:40","","","","",,,,,1,0.20,1,1,5,"… state-of-the-art deep learning approaches to automate the process of … than simple detection and tracking tasks. And therefore, … As in extremely dense crowd images, a single feature or …","https://opus.lib.uts.edu.au/bitstream/10453/135995/2/02whole.pdf","https://scholar.google.com/scholar?q=related:UvuuuB0fz3UJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
2,"SSS Das, SMM Rashid, ME Ali","CCCNet: An attention based deep learning framework for categorized crowd counting",2019,"arXiv preprint arXiv:1912.05765","arxiv.org","https://arxiv.org/abs/1912.05765","https://scholar.google.com/scholar?cites=2721044554985460493&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-04-16 15:55:40","","","","",,,,,2,0.40,1,3,5,"… To alleviate this problem, we combine the dense crowd information from the second phase with the initial detection results of the first phase to further refine the results of categorized …","https://arxiv.org/pdf/1912.05765","https://scholar.google.com/scholar?q=related:DVPrJZsXwyUJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
16,"H Jiang, W Jin","Effective use of convolutional neural networks and diverse deep supervision for better crowd counting",2019,"Applied Intelligence","Springer","https://link.springer.com/article/10.1007/s10489-018-1394-9","https://scholar.google.com/scholar?cites=10878555938539722335&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-04-16 15:55:40","","10.1007/s10489-018-1394-9","","",,,,,16,3.20,8,2,5,"… and localization (detection and tracking). Convolutional neural … Inspired by the recent deep learning success in computer … For datasets with dense crowd, we first compute \(\overline {d_{…","","https://scholar.google.com/scholar?q=related:X1bgMf1k-JYJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
2,"MA Kizrak, B Bolat","Deep and Wide Convolutional Neural Network Model for Highly Dense Crowd",2019,"2019 Innovations in Intelligent Systems …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8946395/","https://scholar.google.com/scholar?cites=4879086103566373720&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-04-16 15:55:40","","","","",,,,,2,0.40,1,2,5,"… Recent enhancements in the area of deep learning for crowd behavior analysis and people … Unlike other studies, this way of tracking leads to the calculation of the features in different …","https://www.academia.edu/download/68369279/Deep_and_Wide_Convolutional_Neural_Network_Model_for_Highly_Dense_Crowd.pdf","https://scholar.google.com/scholar?q=related:WFOe7_X-tUMJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
387,"X Jiang, Z Xiao, B Zhang, X Zhen, ...","Crowd counting and density estimation by trellis encoder-decoder networks",2019,"Proceedings of the …","openaccess.thecvf.com","http://openaccess.thecvf.com/content_CVPR_2019/html/Jiang_Crowd_Counting_and_Density_Estimation_by_Trellis_Encoder-Decoder_Networks_CVPR_2019_paper.html","https://scholar.google.com/scholar?cites=9930043383432216348&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-04-16 15:55:40","","","","",,,,,387,77.40,77,5,5,"… • We propose a new deep learning architecture for accurate density estimation and crowd counting, called trellis encoder-decoder network (TEDnet), which assembles multiple encoding…","http://openaccess.thecvf.com/content_CVPR_2019/papers/Jiang_Crowd_Counting_and_Density_Estimation_by_Trellis_Encoder-Decoder_Networks_CVPR_2019_paper.pdf","https://scholar.google.com/scholar?q=related:HP-xediZzokJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
5,"SS Sohn, S Moon, H Zhou, S Yoon, V Pavlovic, ...","Deep crowd-flow prediction in built environments",2019,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1910.05810","https://scholar.google.com/scholar?cites=9622807784265123021&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-04-16 15:55:40","","","","",,,,,5,1.00,1,6,5,"… It is used to predict for sparse and dense crowd situations, and it successfully tackles both. … of whether by rule-based simulators or deep-learning-based models. For long-term prediction, …","https://arxiv.org/pdf/1910.05810","https://scholar.google.com/scholar?q=related:zYT8KrIUi4UJ:scholar.google.com/&scioq=%22dense+crowd%22+%22tracking%22%7C%22track%22+%22deep+learning%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
